scenario_id,contingency_type,outage_type,description,severity,num_elements_out,element1_type,element1_name,element1_class,element1_index,element1_rating_capacity,element2_type,element2_name,element2_class,element2_index,element2_rating_capacity,generation_date,notes
0,BASE,none,Base case - no outages,none,0,none,none,none,-1,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Reference case with all elements in service
1,N-1,line,Line outage: Line 16 - 19,medium,1,line,Line 16 - 19,ElmLne,0,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
2,N-1,line,Line outage: Line 05 - 06,medium,1,line,Line 05 - 06,ElmLne,1,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
3,N-1,line,Line outage: Line 03 - 18,medium,1,line,Line 03 - 18,ElmLne,2,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
4,N-1,line,Line outage: Line 09 - 39,medium,1,line,Line 09 - 39,ElmLne,3,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
5,N-1,line,Line outage: Line 07 - 08,medium,1,line,Line 07 - 08,ElmLne,4,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
6,N-1,line,Line outage: Line 26 - 28,medium,1,line,Line 26 - 28,ElmLne,5,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
7,N-1,line,Line outage: Line 03 - 04,medium,1,line,Line 03 - 04,ElmLne,6,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
8,N-1,line,Line outage: Line 21 - 22,medium,1,line,Line 21 - 22,ElmLne,7,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
9,N-1,line,Line outage: Line 05 - 08,medium,1,line,Line 05 - 08,ElmLne,8,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
10,N-1,line,Line outage: Line 14 - 15,medium,1,line,Line 14 - 15,ElmLne,9,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
11,N-1,line,Line outage: Line 22 - 23,medium,1,line,Line 22 - 23,ElmLne,10,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
12,N-1,line,Line outage: Line 26 - 27,medium,1,line,Line 26 - 27,ElmLne,11,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
13,N-1,line,Line outage: Line 01 - 39,medium,1,line,Line 01 - 39,ElmLne,12,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
14,N-1,line,Line outage: Line 10 - 13,medium,1,line,Line 10 - 13,ElmLne,13,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
15,N-1,line,Line outage: Line 06 - 07,medium,1,line,Line 06 - 07,ElmLne,14,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
16,N-1,line,Line outage: Line 10 - 11,medium,1,line,Line 10 - 11,ElmLne,15,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
17,N-1,line,Line outage: Line 16 - 24,medium,1,line,Line 16 - 24,ElmLne,16,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
18,N-1,line,Line outage: Line 16 - 21,medium,1,line,Line 16 - 21,ElmLne,17,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
19,N-1,line,Line outage: Line 06 - 11,medium,1,line,Line 06 - 11,ElmLne,18,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
20,N-1,line,Line outage: Line 17 - 18,medium,1,line,Line 17 - 18,ElmLne,19,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
21,N-1,line,Line outage: Line 25 - 26,medium,1,line,Line 25 - 26,ElmLne,20,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
22,N-1,line,Line outage: Line 04 - 05,medium,1,line,Line 04 - 05,ElmLne,21,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
23,N-1,line,Line outage: Line 02 - 03,medium,1,line,Line 02 - 03,ElmLne,22,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
24,N-1,line,Line outage: Line 26 - 29,medium,1,line,Line 26 - 29,ElmLne,23,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
25,N-1,line,Line outage: Line 15 - 16,medium,1,line,Line 15 - 16,ElmLne,24,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
26,N-1,line,Line outage: Line 08 - 09,medium,1,line,Line 08 - 09,ElmLne,25,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
27,N-1,line,Line outage: Line 13 - 14,medium,1,line,Line 13 - 14,ElmLne,26,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
28,N-1,line,Line outage: Line 01 - 02,medium,1,line,Line 01 - 02,ElmLne,27,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
29,N-1,line,Line outage: Line 02 - 25,medium,1,line,Line 02 - 25,ElmLne,28,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
30,N-1,line,Line outage: Line 04 - 14,medium,1,line,Line 04 - 14,ElmLne,29,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
31,N-1,line,Line outage: Line 16 - 17,medium,1,line,Line 16 - 17,ElmLne,30,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
32,N-1,line,Line outage: Line 28 - 29,medium,1,line,Line 28 - 29,ElmLne,31,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
33,N-1,line,Line outage: Line 23 - 24,medium,1,line,Line 23 - 24,ElmLne,32,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
34,N-1,line,Line outage: Line 17 - 27,medium,1,line,Line 17 - 27,ElmLne,33,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
35,N-1,transformer,Transformer outage: Trf 25 - 37,high,1,transformer,Trf 25 - 37,ElmTr2,0,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
36,N-1,transformer,Transformer outage: Trf 19 - 20,high,1,transformer,Trf 19 - 20,ElmTr2,1,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
37,N-1,transformer,Transformer outage: Trf 20 - 34,high,1,transformer,Trf 20 - 34,ElmTr2,2,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
38,N-1,transformer,Transformer outage: Trf 19 - 33,high,1,transformer,Trf 19 - 33,ElmTr2,3,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
39,N-1,transformer,Transformer outage: Trf 10 - 32,high,1,transformer,Trf 10 - 32,ElmTr2,4,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
40,N-1,transformer,Transformer outage: Trf 23 - 36,high,1,transformer,Trf 23 - 36,ElmTr2,5,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
41,N-1,transformer,Transformer outage: Trf 02 - 30,high,1,transformer,Trf 02 - 30,ElmTr2,6,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
42,N-1,transformer,Transformer outage: Trf 11 - 12,high,1,transformer,Trf 11 - 12,ElmTr2,7,0.0,none,none,none,-1,0.0,2025-08-03T11:40:18.523147,Auto-generated N-1 contingency
